RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Alameda,PSYCHIATRIC_HEALTH_FACILITY,,1,DAYS
6/30/2020,FY1920,Alameda,PSYCHIATRIC_HEALTH_FACILITY,,1,DOLLARS
6/30/2020,FY1920,Alameda,SDMC_HOSPITAL_INPATIENT,,1,BENEFICIARIES
6/30/2020,FY1920,Alameda,SDMC_HOSPITAL_INPATIENT,,1,DAYS
6/30/2020,FY1920,Alameda,SDMC_HOSPITAL_INPATIENT,,1,DOLLARS
6/30/2020,FY1920,Alameda,THERAPEUTIC_BEHAVIORAL_SVCS,11,,BENEFICIARIES
6/30/2020,FY1920,Alameda,THERAPEUTIC_BEHAVIORAL_SVCS,63514.035,,MINUTES
6/30/2020,FY1920,Alameda,THERAPEUTIC_BEHAVIORAL_SVCS,192722.25,,DOLLARS
6/30/2020,FY1920,Amador,ALL,27,,BENEFICIARIES
6/30/2020,FY1920,Amador,ALL,156116.47,,DOLLARS
6/30/2020,FY1920,Amador,CASE_MANAGEMENT/BROKERAGE,,1,BENEFICIARIES
6/30/2020,FY1920,Amador,CASE_MANAGEMENT/BROKERAGE,,1,DOLLARS
6/30/2020,FY1920,Amador,CASE_MANAGEMENT/BROKERAGE,,1,MINUTES
6/30/2020,FY1920,Amador,ICC,23,,BENEFICIARIES
6/30/2020,FY1920,Amador,ICC,16882.35,,MINUTES
6/30/2020,FY1920,Amador,ICC,37746.47,,DOLLARS
6/30/2020,FY1920,Amador,IHBS,21,,BENEFICIARIES
6/30/2020,FY1920,Amador,IHBS,41963.7,,MINUTES
6/30/2020,FY1920,Amador,IHBS,91595.54,,DOLLARS
6/30/2020,FY1920,Amador,MEDICATION_SUPPORT_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Amador,MEDICATION_SUPPORT_SVCS,,1,DOLLARS
6/30/2020,FY1920,Amador,MEDICATION_SUPPORT_SVCS,,1,MINUTES
6/30/2020,FY1920,Amador,MENTAL_HEALTH_SVCS,20,,BENEFICIARIES
6/30/2020,FY1920,Amador,MENTAL_HEALTH_SVCS,7023.6,,MINUTES
6/30/2020,FY1920,Amador,MENTAL_HEALTH_SVCS,17529.09,,DOLLARS
6/30/2020,FY1920,Butte,ALL,307,,BENEFICIARIES
6/30/2020,FY1920,Butte,ALL,1421849.47,,DOLLARS
6/30/2020,FY1920,Butte,CASE_MANAGEMENT/BROKERAGE,39,,BENEFICIARIES
6/30/2020,FY1920,Butte,CASE_MANAGEMENT/BROKERAGE,5105.85,,MINUTES
6/30/2020,FY1920,Butte,CASE_MANAGEMENT/BROKERAGE,10523.69,,DOLLARS
6/30/2020,FY1920,Butte,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Butte,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Butte,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Butte,CRISIS_STABILIZATION,,1,BENEFICIARIES
6/30/2020,FY1920,Butte,CRISIS_STABILIZATION,,1,DOLLARS
6/30/2020,FY1920,Butte,CRISIS_STABILIZATION,,1,HOURS
6/30/2020,FY1920,Butte,ICC,271,,BENEFICIARIES
6/30/2020,FY1920,Butte,ICC,158694.15,,MINUTES
6/30/2020,FY1920,Butte,ICC,327949.73,,DOLLARS
6/30/2020,FY1920,Butte,IHBS,106,,BENEFICIARIES
6/30/2020,FY1920,Butte,IHBS,335891.55,,MINUTES
6/30/2020,FY1920,Butte,IHBS,697716.38,,DOLLARS
6/30/2020,FY1920,Butte,MEDICATION_SUPPORT_SVCS,37,,BENEFICIARIES
6/30/2020,FY1920,Butte,MEDICATION_SUPPORT_SVCS,19720.5,,MINUTES
6/30/2020,FY1920,Butte,MEDICATION_SUPPORT_SVCS,99576.59,,DOLLARS
6/30/2020,FY1920,Butte,MENTAL_HEALTH_SVCS,88,,BENEFICIARIES
6/30/2020,FY1920,Butte,MENTAL_HEALTH_SVCS,96777.45,,MINUTES
6/30/2020,FY1920,Butte,MENTAL_HEALTH_SVCS,222704.7,,DOLLARS
6/30/2020,FY1920,Butte,THERAPEUTIC_BEHAVIORAL_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Butte,THERAPEUTIC_BEHAVIORAL_SVCS,,1,DOLLARS
6/30/2020,FY1920,Butte,THERAPEUTIC_BEHAVIORAL_SVCS,,1,MINUTES
6/30/2020,FY1920,Calaveras,ALL,85,,BENEFICIARIES
6/30/2020,FY1920,Calaveras,ALL,318793.34,,DOLLARS
6/30/2020,FY1920,Calaveras,CASE_MANAGEMENT/BROKERAGE,25,,BENEFICIARIES
6/30/2020,FY1920,Calaveras,CASE_MANAGEMENT/BROKERAGE,15164.85,,MINUTES
6/30/2020,FY1920,Calaveras,CASE_MANAGEMENT/BROKERAGE,54501.45,,DOLLARS
6/30/2020,FY1920,Calaveras,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Calaveras,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Calaveras,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Calaveras,ICC,63,,BENEFICIARIES
6/30/2020,FY1920,Calaveras,ICC,20263.35,,MINUTES
6/30/2020,FY1920,Calaveras,ICC,52398.02,,DOLLARS
6/30/2020,FY1920,Calaveras,IHBS,29,,BENEFICIARIES
6/30/2020,FY1920,Calaveras,IHBS,45651.9,,MINUTES
6/30/2020,FY1920,Calaveras,IHBS,97527.86,,DOLLARS
6/30/2020,FY1920,Calaveras,MEDICATION_SUPPORT_SVCS,20,,BENEFICIARIES
6/30/2020,FY1920,Calaveras,MEDICATION_SUPPORT_SVCS,4777.2,,MINUTES
6/30/2020,FY1920,Calaveras,MEDICATION_SUPPORT_SVCS,29187.47,,DOLLARS
6/30/2020,FY1920,Calaveras,MENTAL_HEALTH_SVCS,39,,BENEFICIARIES
6/30/2020,FY1920,Calaveras,MENTAL_HEALTH_SVCS,28170.45,,MINUTES
6/30/2020,FY1920,Calaveras,MENTAL_HEALTH_SVCS,81325.54,,DOLLARS
6/30/2020,FY1920,Colusa,ALL,,1,BENEFICIARIES
6/30/2020,FY1920,Colusa,ALL,,1,DOLLARS
6/30/2020,FY1920,Colusa,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Colusa,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Colusa,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Colusa,ICC,,1,BENEFICIARIES
6/30/2020,FY1920,Colusa,ICC,,1,DOLLARS
6/30/2020,FY1920,Colusa,ICC,,1,MINUTES
6/30/2020,FY1920,Colusa,IHBS,,1,BENEFICIARIES
6/30/2020,FY1920,Colusa,IHBS,,1,DOLLARS
6/30/2020,FY1920,Colusa,IHBS,,1,MINUTES
6/30/2020,FY1920,Colusa,MENTAL_HEALTH_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Colusa,MENTAL_HEALTH_SVCS,,1,DOLLARS
6/30/2020,FY1920,Colusa,MENTAL_HEALTH_SVCS,,1,MINUTES
6/30/2020,FY1920,Contra Costa,ALL,319,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,ALL,7580684.1,,DOLLARS
6/30/2020,FY1920,Contra Costa,CASE_MANAGEMENT/BROKERAGE,207,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,CASE_MANAGEMENT/BROKERAGE,133398.09,,MINUTES
6/30/2020,FY1920,Contra Costa,CASE_MANAGEMENT/BROKERAGE,383262.26,,DOLLARS
6/30/2020,FY1920,Contra Costa,CRISIS_INTERVENTION,14,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,CRISIS_INTERVENTION,4350.99,,MINUTES
6/30/2020,FY1920,Contra Costa,CRISIS_INTERVENTION,23378.91,,DOLLARS
6/30/2020,FY1920,Contra Costa,CRISIS_STABILIZATION,32,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,CRISIS_STABILIZATION,815,,HOURS
6/30/2020,FY1920,Contra Costa,CRISIS_STABILIZATION,116149.21,,DOLLARS
6/30/2020,FY1920,Contra Costa,ICC,278,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,ICC,460032.435,,MINUTES
6/30/2020,FY1920,Contra Costa,ICC,1323247.72,,DOLLARS
6/30/2020,FY1920,Contra Costa,IHBS,47,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,IHBS,115329.135,,MINUTES
6/30/2020,FY1920,Contra Costa,IHBS,433953.41,,DOLLARS
6/30/2020,FY1920,Contra Costa,MEDICATION_SUPPORT_SVCS,102,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,MEDICATION_SUPPORT_SVCS,27755.13,,MINUTES
6/30/2020,FY1920,Contra Costa,MEDICATION_SUPPORT_SVCS,184512.01,,DOLLARS
6/30/2020,FY1920,Contra Costa,MENTAL_HEALTH_SVCS,270,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,MENTAL_HEALTH_SVCS,1080443.175,,MINUTES
6/30/2020,FY1920,Contra Costa,MENTAL_HEALTH_SVCS,4059001.42,,DOLLARS
6/30/2020,FY1920,Contra Costa,THERAPEUTIC_BEHAVIORAL_SVCS,64,,BENEFICIARIES
6/30/2020,FY1920,Contra Costa,THERAPEUTIC_BEHAVIORAL_SVCS,327583.86,,MINUTES
6/30/2020,FY1920,Contra Costa,THERAPEUTIC_BEHAVIORAL_SVCS,1057179.16,,DOLLARS
6/30/2020,FY1920,Del Norte,ALL,11,,BENEFICIARIES
6/30/2020,FY1920,Del Norte,ALL,125270.42,,DOLLARS
6/30/2020,FY1920,Del Norte,CASE_MANAGEMENT/BROKERAGE,,1,BENEFICIARIES
6/30/2020,FY1920,Del Norte,CASE_MANAGEMENT/BROKERAGE,,1,DOLLARS
6/30/2020,FY1920,Del Norte,CASE_MANAGEMENT/BROKERAGE,,1,MINUTES
6/30/2020,FY1920,Del Norte,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Del Norte,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Del Norte,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Del Norte,ICC,,1,BENEFICIARIES
6/30/2020,FY1920,Del Norte,ICC,,1,DOLLARS
6/30/2020,FY1920,Del Norte,ICC,,1,MINUTES
6/30/2020,FY1920,Del Norte,IHBS,,1,BENEFICIARIES
6/30/2020,FY1920,Del Norte,IHBS,,1,DOLLARS
6/30/2020,FY1920,Del Norte,IHBS,,1,MINUTES
6/30/2020,FY1920,Del Norte,MEDICATION_SUPPORT_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Del Norte,MEDICATION_SUPPORT_SVCS,,1,DOLLARS
6/30/2020,FY1920,Del Norte,MEDICATION_SUPPORT_SVCS,,1,MINUTES
6/30/2020,FY1920,Del Norte,MENTAL_HEALTH_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Del Norte,MENTAL_HEALTH_SVCS,,1,DOLLARS
6/30/2020,FY1920,Del Norte,MENTAL_HEALTH_SVCS,,1,MINUTES
6/30/2020,FY1920,El Dorado,ALL,163,,BENEFICIARIES
6/30/2020,FY1920,El Dorado,ALL,736469.4,,DOLLARS
6/30/2020,FY1920,El Dorado,CASE_MANAGEMENT/BROKERAGE,28,,BENEFICIARIES
6/30/2020,FY1920,El Dorado,CASE_MANAGEMENT/BROKERAGE,8144.55,,MINUTES
6/30/2020,FY1920,El Dorado,CASE_MANAGEMENT/BROKERAGE,19488.56,,DOLLARS
6/30/2020,FY1920,El Dorado,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,El Dorado,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,El Dorado,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,El Dorado,ICC,144,,BENEFICIARIES
6/30/2020,FY1920,El Dorado,ICC,102742.2,,MINUTES
6/30/2020,FY1920,El Dorado,ICC,240908.1,,DOLLARS
6/30/2020,FY1920,El Dorado,IHBS,110,,BENEFICIARIES
6/30/2020,FY1920,El Dorado,IHBS,147869.4,,MINUTES
6/30/2020,FY1920,El Dorado,IHBS,352060.09,,DOLLARS
6/30/2020,FY1920,El Dorado,MENTAL_HEALTH_SVCS,48,,BENEFICIARIES
6/30/2020,FY1920,El Dorado,MENTAL_HEALTH_SVCS,51188.25,,MINUTES
6/30/2020,FY1920,El Dorado,MENTAL_HEALTH_SVCS,123461.33,,DOLLARS
6/30/2020,FY1920,Fresno,ALL,482,,BENEFICIARIES
6/30/2020,FY1920,Fresno,ALL,2677736.93,,DOLLARS
6/30/2020,FY1920,Fresno,CASE_MANAGEMENT/BROKERAGE,323,,BENEFICIARIES
6/30/2020,FY1920,Fresno,CASE_MANAGEMENT/BROKERAGE,302160,,MINUTES
6/30/2020,FY1920,Fresno,CASE_MANAGEMENT/BROKERAGE,678253.95,,DOLLARS
6/30/2020,FY1920,Fresno,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Fresno,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Fresno,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Fresno,CRISIS_STABILIZATION,43,,BENEFICIARIES
6/30/2020,FY1920,Fresno,CRISIS_STABILIZATION,1377,,HOURS
6/30/2020,FY1920,Fresno,CRISIS_STABILIZATION,159915.88,,DOLLARS
6/30/2020,FY1920,Fresno,ICC,123,,BENEFICIARIES
6/30/2020,FY1920,Fresno,ICC,25245.45,,MINUTES
6/30/2020,FY1920,Fresno,ICC,56288.92,,DOLLARS
6/30/2020,FY1920,Fresno,IHBS,26,,BENEFICIARIES
6/30/2020,FY1920,Fresno,IHBS,4459.65,,MINUTES
6/30/2020,FY1920,Fresno,IHBS,13272.98,,DOLLARS
6/30/2020,FY1920,Fresno,MEDICATION_SUPPORT_SVCS,229,,BENEFICIARIES
6/30/2020,FY1920,Fresno,MEDICATION_SUPPORT_SVCS,34901.1,,MINUTES
6/30/2020,FY1920,Fresno,MEDICATION_SUPPORT_SVCS,197076.04,,DOLLARS
6/30/2020,FY1920,Fresno,MENTAL_HEALTH_SVCS,376,,BENEFICIARIES
6/30/2020,FY1920,Fresno,MENTAL_HEALTH_SVCS,410355.15,,MINUTES
6/30/2020,FY1920,Fresno,MENTAL_HEALTH_SVCS,1173758.59,,DOLLARS
6/30/2020,FY1920,Fresno,PSYCHIATRIC_HEALTH_FACILITY,15,,BENEFICIARIES
6/30/2020,FY1920,Fresno,PSYCHIATRIC_HEALTH_FACILITY,115,,DAYS
6/30/2020,FY1920,Fresno,PSYCHIATRIC_HEALTH_FACILITY,89156.05,,DOLLARS
6/30/2020,FY1920,Fresno,THERAPEUTIC_BEHAVIORAL_SVCS,54,,BENEFICIARIES
6/30/2020,FY1920,Fresno,THERAPEUTIC_BEHAVIORAL_SVCS,150750.45,,MINUTES
6/30/2020,FY1920,Fresno,THERAPEUTIC_BEHAVIORAL_SVCS,301498,,DOLLARS
6/30/2020,FY1920,Glenn,ALL,72,,BENEFICIARIES
6/30/2020,FY1920,Glenn,ALL,184620.68,,DOLLARS
6/30/2020,FY1920,Glenn,CASE_MANAGEMENT/BROKERAGE,12,,BENEFICIARIES
6/30/2020,FY1920,Glenn,CASE_MANAGEMENT/BROKERAGE,3582.45,,MINUTES
6/30/2020,FY1920,Glenn,CASE_MANAGEMENT/BROKERAGE,10459.44,,DOLLARS
6/30/2020,FY1920,Glenn,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Glenn,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Glenn,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Glenn,ICC,56,,BENEFICIARIES
6/30/2020,FY1920,Glenn,ICC,14366.4,,MINUTES
6/30/2020,FY1920,Glenn,ICC,41945.8,,DOLLARS
6/30/2020,FY1920,Glenn,IHBS,39,,BENEFICIARIES
6/30/2020,FY1920,Glenn,IHBS,19874.4,,MINUTES
6/30/2020,FY1920,Glenn,IHBS,73331.37,,DOLLARS
6/30/2020,FY1920,Glenn,MEDICATION_SUPPORT_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Glenn,MEDICATION_SUPPORT_SVCS,,1,DOLLARS
6/30/2020,FY1920,Glenn,MEDICATION_SUPPORT_SVCS,,1,MINUTES
6/30/2020,FY1920,Glenn,MENTAL_HEALTH_SVCS,21,,BENEFICIARIES
6/30/2020,FY1920,Glenn,MENTAL_HEALTH_SVCS,15445.8,,MINUTES
6/30/2020,FY1920,Glenn,MENTAL_HEALTH_SVCS,56980.98,,DOLLARS
6/30/2020,FY1920,Humboldt,ALL,93,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,ALL,2344133.67,,DOLLARS
6/30/2020,FY1920,Humboldt,CASE_MANAGEMENT/BROKERAGE,52,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,CASE_MANAGEMENT/BROKERAGE,35945.7,,MINUTES
6/30/2020,FY1920,Humboldt,CASE_MANAGEMENT/BROKERAGE,114146.22,,DOLLARS
6/30/2020,FY1920,Humboldt,CRISIS_INTERVENTION,18,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,CRISIS_INTERVENTION,7881.9,,MINUTES
6/30/2020,FY1920,Humboldt,CRISIS_INTERVENTION,34680.8,,DOLLARS
6/30/2020,FY1920,Humboldt,CRISIS_STABILIZATION,12,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,CRISIS_STABILIZATION,281,,HOURS
6/30/2020,FY1920,Humboldt,CRISIS_STABILIZATION,44379.92,,DOLLARS
6/30/2020,FY1920,Humboldt,ICC,57,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,ICC,50435.25,,MINUTES
6/30/2020,FY1920,Humboldt,ICC,163291.14,,DOLLARS
6/30/2020,FY1920,Humboldt,IHBS,42,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,IHBS,367130.85,,MINUTES
6/30/2020,FY1920,Humboldt,IHBS,944897.01,,DOLLARS
6/30/2020,FY1920,Humboldt,MEDICATION_SUPPORT_SVCS,49,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,MEDICATION_SUPPORT_SVCS,25804.95,,MINUTES
6/30/2020,FY1920,Humboldt,MEDICATION_SUPPORT_SVCS,179028.51,,DOLLARS
6/30/2020,FY1920,Humboldt,MENTAL_HEALTH_SVCS,89,,BENEFICIARIES
6/30/2020,FY1920,Humboldt,MENTAL_HEALTH_SVCS,242080.05,,MINUTES
6/30/2020,FY1920,Humboldt,MENTAL_HEALTH_SVCS,851321.7,,DOLLARS
6/30/2020,FY1920,Humboldt,SDMC_HOSPITAL_INPATIENT,,1,BENEFICIARIES
6/30/2020,FY1920,Humboldt,SDMC_HOSPITAL_INPATIENT,,1,DAYS
6/30/2020,FY1920,Humboldt,SDMC_HOSPITAL_INPATIENT,,1,DOLLARS
6/30/2020,FY1920,Humboldt,THERAPEUTIC_BEHAVIORAL_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Humboldt,THERAPEUTIC_BEHAVIORAL_SVCS,,1,DOLLARS
6/30/2020,FY1920,Humboldt,THERAPEUTIC_BEHAVIORAL_SVCS,,1,MINUTES
6/30/2020,FY1920,Imperial,ALL,141,,BENEFICIARIES
6/30/2020,FY1920,Imperial,ALL,1109840.19,,DOLLARS
6/30/2020,FY1920,Imperial,CASE_MANAGEMENT/BROKERAGE,,1,BENEFICIARIES
6/30/2020,FY1920,Imperial,CASE_MANAGEMENT/BROKERAGE,,1,DOLLARS
6/30/2020,FY1920,Imperial,CASE_MANAGEMENT/BROKERAGE,,1,MINUTES
6/30/2020,FY1920,Imperial,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Imperial,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Imperial,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Imperial,ICC,15,,BENEFICIARIES
6/30/2020,FY1920,Imperial,ICC,1602.3,,MINUTES
6/30/2020,FY1920,Imperial,ICC,5414.76,,DOLLARS
6/30/2020,FY1920,Imperial,IHBS,99,,BENEFICIARIES
6/30/2020,FY1920,Imperial,IHBS,112685.1,,MINUTES
6/30/2020,FY1920,Imperial,IHBS,491319.68,,DOLLARS
6/30/2020,FY1920,Imperial,MEDICATION_SUPPORT_SVCS,70,,BENEFICIARIES
6/30/2020,FY1920,Imperial,MEDICATION_SUPPORT_SVCS,32964.3,,MINUTES
6/30/2020,FY1920,Imperial,MEDICATION_SUPPORT_SVCS,266024.61,,DOLLARS
6/30/2020,FY1920,Imperial,MENTAL_HEALTH_SVCS,92,,BENEFICIARIES
6/30/2020,FY1920,Imperial,MENTAL_HEALTH_SVCS,78477.45,,MINUTES
6/30/2020,FY1920,Imperial,MENTAL_HEALTH_SVCS,342177.16,,DOLLARS
6/30/2020,FY1920,Inyo,ALL,,1,BENEFICIARIES
6/30/2020,FY1920,Inyo,ALL,,1,DOLLARS
6/30/2020,FY1920,Inyo,CRISIS_INTERVENTION,,1,BENEFICIARIES
6/30/2020,FY1920,Inyo,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Inyo,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Inyo,ICC,,1,BENEFICIARIES
6/30/2020,FY1920,Inyo,ICC,,1,DOLLARS
6/30/2020,FY1920,Inyo,ICC,,1,MINUTES
6/30/2020,FY1920,Inyo,MENTAL_HEALTH_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Inyo,MENTAL_HEALTH_SVCS,,1,DOLLARS
6/30/2020,FY1920,Inyo,MENTAL_HEALTH_SVCS,,1,MINUTES
6/30/2020,FY1920,Kern,ALL,690,,BENEFICIARIES
6/30/2020,FY1920,Kern,ALL,3933742,,DOLLARS
6/30/2020,FY1920,Kern,CASE_MANAGEMENT/BROKERAGE,207,,BENEFICIARIES
6/30/2020,FY1920,Kern,CASE_MANAGEMENT/BROKERAGE,32667.15,,MINUTES
6/30/2020,FY1920,Kern,CASE_MANAGEMENT/BROKERAGE,91015.53,,DOLLARS
6/30/2020,FY1920,Kern,CRISIS_INTERVENTION,32,,BENEFICIARIES
6/30/2020,FY1920,Kern,CRISIS_INTERVENTION,4675.95,,MINUTES
6/30/2020,FY1920,Kern,CRISIS_INTERVENTION,23018,,DOLLARS
6/30/2020,FY1920,Kern,CRISIS_STABILIZATION,41,,BENEFICIARIES
6/30/2020,FY1920,Kern,CRISIS_STABILIZATION,744,,HOURS
6/30/2020,FY1920,Kern,CRISIS_STABILIZATION,82720.58,,DOLLARS
6/30/2020,FY1920,Kern,ICC,601,,BENEFICIARIES
6/30/2020,FY1920,Kern,ICC,124549.2,,MINUTES
6/30/2020,FY1920,Kern,ICC,353174.76,,DOLLARS
6/30/2020,FY1920,Kern,IHBS,282,,BENEFICIARIES
6/30/2020,FY1920,Kern,IHBS,157525.95,,MINUTES
6/30/2020,FY1920,Kern,IHBS,594634.33,,DOLLARS
6/30/2020,FY1920,Kern,MEDICATION_SUPPORT_SVCS,286,,BENEFICIARIES
6/30/2020,FY1920,Kern,MEDICATION_SUPPORT_SVCS,70008.15,,MINUTES
6/30/2020,FY1920,Kern,MEDICATION_SUPPORT_SVCS,470088.41,,DOLLARS
6/30/2020,FY1920,Kern,MENTAL_HEALTH_SVCS,467,,BENEFICIARIES
6/30/2020,FY1920,Kern,MENTAL_HEALTH_SVCS,590486.85,,MINUTES
6/30/2020,FY1920,Kern,MENTAL_HEALTH_SVCS,2089200.26,,DOLLARS
6/30/2020,FY1920,Kern,PSYCHIATRIC_HEALTH_FACILITY,,1,BENEFICIARIES
6/30/2020,FY1920,Kern,PSYCHIATRIC_HEALTH_FACILITY,,1,DAYS
6/30/2020,FY1920,Kern,PSYCHIATRIC_HEALTH_FACILITY,,1,DOLLARS
6/30/2020,FY1920,Kern,TFC,,1,BENEFICIARIES
6/30/2020,FY1920,Kern,TFC,,1,DAYS
6/30/2020,FY1920,Kern,TFC,,1,DOLLARS
6/30/2020,FY1920,Kern,THERAPEUTIC_BEHAVIORAL_SVCS,69,,BENEFICIARIES
6/30/2020,FY1920,Kern,THERAPEUTIC_BEHAVIORAL_SVCS,56802.3,,MINUTES
6/30/2020,FY1920,Kern,THERAPEUTIC_BEHAVIORAL_SVCS,172678.98,,DOLLARS
6/30/2020,FY1920,Kings,ALL,75,,BENEFICIARIES
6/30/2020,FY1920,Kings,ALL,806682.5,,DOLLARS
6/30/2020,FY1920,Kings,CASE_MANAGEMENT/BROKERAGE,30,,BENEFICIARIES
